item_id,order_id,product_id,quantity,unit_price,unit_cost,line_subtotal,line_cost
ITEM-0000001,ORD-000001,404,1,64.99,21.0,64.99,21.0
ITEM-0000002,ORD-000002,105,1,39.99,12.0,39.99,12.0
ITEM-0000003,ORD-000002,305,1,59.99,20.0,59.99,20.0
ITEM-0000004,ORD-000003,106,1,179.99,70.0,179.99,70.0
ITEM-0000005,ORD-000004,501,1,42.0,13.0,42.0,13.0
ITEM-0000006,ORD-000004,307,1,29.99,8.0,29.99,8.0
ITEM-0000007,ORD-000005,204,2,24.0,6.0,48.0,12.0
ITEM-0000008,ORD-000005,107,1,59.99,22.0,59.99,22.0
ITEM-0000009,ORD-000006,102,1,49.99,18.0,49.99,18.0
ITEM-0000010,ORD-000006,306,1,32.5,10.0,32.5,10.0
ITEM-0000011,ORD-000007,304,1,39.99,14.0,39.99,14.0
ITEM-0000012,ORD-000008,505,1,75.0,24.0,75.0,24.0
ITEM-0000013,ORD-000009,204,1,24.0,6.0,24.0,6.0
ITEM-0000014,ORD-000009,503,1,48.0,15.0,48.0,15.0
ITEM-0000015,ORD-000010,105,1,39.99,12.0,39.99,12.0
ITEM-0000016,ORD-000010,403,1,22.0,5.2,22.0,5.2
ITEM-0000017,ORD-000011,102,1,49.99,18.0,49.99,18.0
ITEM-0000018,ORD-000011,204,1,24.0,6.0,24.0,6.0
ITEM-0000019,ORD-000012,305,1,59.99,20.0,59.99,20.0
ITEM-0000020,ORD-000013,206,1,45.0,11.0,45.0,11.0
ITEM-0000021,ORD-000013,204,1,24.0,6.0,24.0,6.0
ITEM-0000022,ORD-000014,107,1,59.99,22.0,59.99,22.0
ITEM-0000023,ORD-000014,108,1,29.99,9.5,29.99,9.5
ITEM-0000024,ORD-000015,108,2,29.99,9.5,59.98,19.0
ITEM-0000025,ORD-000016,307,1,29.99,8.0,29.99,8.0
ITEM-0000026,ORD-000016,202,1,68.0,22.0,68.0,22.0
ITEM-0000027,ORD-000017,106,2,179.99,70.0,359.98,140.0
ITEM-0000028,ORD-000017,108,1,29.99,9.5,29.99,9.5
ITEM-0000029,ORD-000017,104,1,349.99,175.0,349.99,175.0
ITEM-0000030,ORD-000018,401,1,26.0,6.0,26.0,6.0
ITEM-0000031,ORD-000018,403,1,22.0,5.2,22.0,5.2
ITEM-0000032,ORD-000019,304,1,39.99,14.0,39.99,14.0
ITEM-0000033,ORD-000019,504,1,16.99,4.2,16.99,4.2
ITEM-0000034,ORD-000020,103,2,89.99,36.0,179.98,72.0
ITEM-0000035,ORD-000020,108,1,29.99,9.5,29.99,9.5
ITEM-0000036,ORD-000021,107,2,59.99,22.0,119.98,44.0
