order_id,customer_id,order_date,order_date_only,order_status,payment_method,subtotal,discount_amount,shipping_fee,total_amount,total_cost,gross_profit,order_sequence
ORD-000001,CUST-00001,2025-02-18 00:00:00,2025-02-18,Completed,Credit Card,64.99,0.0,0.0,64.99,21.0,43.99,1
ORD-000002,CUST-00002,2024-08-15 00:00:00,2024-08-15,Completed,Debit Card,99.98,0.0,4.99,104.97,32.0,67.98,1
ORD-000003,CUST-00003,2024-10-21 00:00:00,2024-10-21,Completed,PayPal,179.99,9.0,0.0,170.99,70.0,100.99,1
ORD-000004,CUST-00003,2024-12-17 00:00:00,2024-12-17,Completed,Credit Card,71.99,14.4,0.0,57.59,21.0,36.59,2
ORD-000005,CUST-00003,2025-01-07 00:00:00,2025-01-07,Completed,Credit Card,107.99000000000001,0.0,0.0,107.99,34.0,73.99,3
ORD-000006,CUST-00004,2024-12-17 00:00:00,2024-12-17,Completed,Debit Card,82.49000000000001,16.5,0.0,65.99,28.0,37.99,1
ORD-000007,CUST-00005,2024-07-21 00:00:00,2024-07-21,Completed,Credit Card,39.99,8.0,0.0,31.99,14.0,17.99,1
ORD-000008,CUST-00005,2024-08-08 00:00:00,2024-08-08,Cancelled,PayPal,75.0,0.0,0.0,75.0,24.0,51.0,2
ORD-000009,CUST-00005,2024-11-02 00:00:00,2024-11-02,Completed,PayPal,72.0,0.0,0.0,72.0,21.0,51.0,3
ORD-000010,CUST-00005,2025-01-08 00:00:00,2025-01-08,Completed,PayPal,61.99,6.2,4.99,60.78,17.2,38.59,4
ORD-000011,CUST-00005,2025-03-03 00:00:00,2025-03-03,Completed,Buy Now Pay Later,73.99000000000001,0.0,0.0,73.99,24.0,49.99,5
ORD-000012,CUST-00005,2025-04-17 00:00:00,2025-04-17,Completed,Credit Card,59.99,0.0,0.0,59.99,20.0,39.99,6
ORD-000013,CUST-00005,2025-05-05 00:00:00,2025-05-05,Completed,Credit Card,69.0,0.0,9.99,78.99,17.0,52.0,7
ORD-000014,CUST-00005,2025-06-30 00:00:00,2025-06-30,Completed,Buy Now Pay Later,89.98,0.0,0.0,89.98,31.5,58.48,8
ORD-000015,CUST-00005,2025-08-18 00:00:00,2025-08-18,Completed,Credit Card,59.98,12.0,0.0,47.98,19.0,28.98,9
ORD-000016,CUST-00005,2025-09-11 00:00:00,2025-09-11,Completed,Credit Card,97.99,0.0,0.0,97.99,30.0,67.99,10
ORD-000017,CUST-00005,2025-11-09 00:00:00,2025-11-09,Completed,PayPal,739.96,37.0,7.99,710.95,324.5,378.46,11
ORD-000018,CUST-00006,2024-04-28 00:00:00,2024-04-28,Completed,Credit Card,48.0,0.0,0.0,48.0,11.2,36.8,1
ORD-000019,CUST-00007,2025-09-04 00:00:00,2025-09-04,Completed,Credit Card,56.980000000000004,0.0,0.0,56.98,18.2,38.78,1
ORD-000020,CUST-00007,2025-11-01 00:00:00,2025-11-01,Completed,Buy Now Pay Later,209.97,41.99,7.99,175.97,81.5,86.48,2
ORD-000021,CUST-00007,2025-12-07 00:00:00,2025-12-07,Completed,Buy Now Pay Later,408.98,81.8,0.0,327.18,174.0,153.18,3
ORD-000022,CUST-00007,2025-12-27 00:00:00,2025-12-27,Completed,PayPal,453.99,45.4,7.99,416.58,190.0,218.59,4
ORD-000023,CUST-00008,2024-08-23 00:00:00,2024-08-23,Completed,PayPal,431.99,0.0,9.99,441.98,171.5,260.49,1
ORD-000024,CUST-00009,2024-05-04 00:00:00,2024-05-04,Cancelled,Buy Now Pay Later,269.97,0.0,0.0,269.97,108.0,161.97,1
ORD-000025,CUST-00010,2024-10-14 00:00:00,2024-10-14,Completed,Debit Card,199.99,0.0,9.99,209.98,85.0,114.99,1
ORD-000026,CUST-00011,2024-08-25 00:00:00,2024-08-25,Completed,PayPal,32.5,1.62,9.99,40.87,10.0,20.88,1
ORD-000027,CUST-00011,2024-10-20 00:00:00,2024-10-20,Completed,Credit Card,45.0,0.0,0.0,45.0,11.0,34.0,2
ORD-000028,CUST-00011,2024-12-29 00:00:00,2024-12-29,Completed,Buy Now Pay Later,263.97,26.4,0.0,237.57,94.0,143.57,3
ORD-000029,CUST-00012,2025-02-02 00:00:00,2025-02-02,Returned,Credit Card,29.99,0.0,9.99,39.98,9.5,20.49,1
ORD-000030,CUST-00012,2025-03-09 00:00:00,2025-03-09,Completed,PayPal,209.99,31.5,7.99,186.48,65.0,113.49,2
ORD-000031,CUST-00013,2024-05-22 00:00:00,2024-05-22,Completed,Credit Card,137.99,0.0,4.99,142.98,39.0,98.99,1
ORD-000032,CUST-00014,2024-02-07 00:00:00,2024-02-07,Cancelled,PayPal,222.98000000000002,0.0,0.0,222.98,90.5,132.48,1
ORD-000033,CUST-00014,2024-04-26 00:00:00,2024-04-26,Completed,Credit Card,93.99000000000001,0.0,0.0,93.99,28.5,65.49,2
ORD-000034,CUST-00014,2024-06-09 00:00:00,2024-06-09,Returned,Credit Card,399.98,0.0,9.99,409.97,170.0,229.98,3
ORD-000035,CUST-00015,2024-08-22 00:00:00,2024-08-22,Completed,PayPal,179.99,0.0,0.0,179.99,70.0,109.99,1
ORD-000036,CUST-00015,2024-12-24 00:00:00,2024-12-24,Completed,Buy Now Pay Later,117.99000000000001,11.8,0.0,106.19,36.0,70.19,2
ORD-000037,CUST-00015,2025-01-29 00:00:00,2025-01-29,Completed,Credit Card,49.99,0.0,0.0,49.99,18.0,31.99,3
